Longitude,Latitutde,Hometown
38.9550,-84.2817,"New Richmond, Ohio"
30.5447,-83.8672,"Monticello, Florida"
32.4258,-104.2376,"Carlsbad, New Mexico"
39.9528,-75.1636,Philadelphia
38.3333,-75.2167,"Berlin, Maryland"
38.8048,-77.0468,"Alexandria, Virginia"
42.3317,-83.0475,Detroit
37.9222,-76.8631,"Tappahannock, Virginia"
33.5494,-81.7206,"Aiken, South Carolina"
36.3903,-77.4222,"Jackson, North Carolina"
37.5408,-77.4367,"Richmond, Virginia"
28.1117,-81.6286,"Haines City, Florida"
33.6061,-88.6525,"West Point, Mississippi"
35.0667,-78.9175,"Fayetteville, North Carolina"
30.6322,-81.6014,"Yulee, Florida"
40.9028,-73.3442,"Northport, New York"
33.7569,-84.3903,Atlanta
35.1175,-89.9711,"Memphis, Tennessee"
40.0769,-74.9517,"Cornwells Heights, Pennsylvania"
40.7567,-73.1989,"Islip, New York"
44.5769,-85.3506,"Fife Lake, Michigan"
31.5822,-84.1656,"Albany, Georgia"
42.3317,-83.0475,Detroit
30.3161,-95.4589,"Conroe, Texas"
36.8516,-75.9793,"Virginia Beach, Virginia"
39.8797,-84.1936,"Vandalia, Ohio"
40.6252,-74.2378,"Linden, New Jersey"
33.5175,-86.8094,"Birmingham, Alabama"
41.4483,-82.1689,"Lorain, Ohio"
38.2843,-80.8415,"Summersville, West Virginia"
42.4667,-70.9500,"Lynn, Massachusetts"
29.1967,-96.2733,"El Campo, Texas"
39.9981,-84.3403,"Ludlow Falls, Ohio"
32.7792,-96.8089,Dallas
25.8606,-80.2939,"Hialeah, Florida"
28.5336,-81.3867,"Orlando, Florida"
35.9437,-80.4116,"Advance, North Carolina"
40.2439,-75.3403,"Kulpsville, Pennsylvania"
36.0897,-79.4456,"Burlington, North Carolina"
43.3739,-76.1525,"Hastings, New York"
38.9214,-79.8508,"Elkins, West Virginia"
42.6597,-75.0489,"Hartwick, New York"
28.0411,-81.9589,"Lakeland, Florida"
41.7028,-71.5222,"West Warwick, Rhode Island"
47.5233,-92.5367,"Virginia, Minnesota"
39.6581,-79.9861,"Star City, West Virginia"
43.8439,-70.1017,"Freeport, Maine"
37.4947,-86.2228,"Clarkson, Kentucky"
42.2139,-71.2250,"Westwood, Massachusetts"
41.6998,-72.1570,"Windham, Connecticut"
39.2864,-76.6150,Baltimore
42.3603,-71.0578,Boston
37.3681,-81.0958,"Princeton, West Virginia"
41.7228,-81.2497,"Painesville, Ohio"
36.6947,-88.2783,"Almo, Kentucky"
40.0397,-76.3044,"Lancaster, Pennsylvania"
43.3958,-90.7722,"Soldiers Grove, Wisconsin"
41.5808,-87.3456,"Gary, Indiana"
40.3917,-74.5458,"South Brunswick, New Jersey"
30.1742,-85.6642,"Panama City, Florida"
42.1296,-80.0852,"Erie, Pennsylvania"
39.2864,-76.6150,Baltimore
37.5408,-77.4367,"Richmond, Virginia"
38.3808,-78.2581,"Madison, Virginia"
34.0031,-84.1456,"Duluth, Georgia"
32.7564,-97.3325,"Fort Worth, Texas"
26.9903,-82.1058,"Port Charlotte, Florida"
42.6986,-71.1356,"North Andover, Massachusetts"
43.0500,-87.9500,Milwaukee
41.4822,-81.6697,Cleveland
30.3000,-97.7333,"Austin, Texas"
37.6614,-120.9944,"Modesto, California"
34.0522,-118.2437,Los Angeles
37.7642,-88.5144,"Muddy, Illinois"
37.9494,-92.2656,"Crocker, Missouri"
36.8352,-76.2983,"Portsmouth, Virginia"
41.8240,-71.4128,"Providence, Rhode Island"
42.3875,-71.1000,"Somerville, Massachusetts"
42.7733,-73.7031,"Cohoes, New York"
40.2419,-75.2842,"Lansdale, Pennsylvania"
39.2864,-76.6150,Baltimore
39.9528,-75.1636,Philadelphia
40.6622,-74.2092,"Elizabeth, New Jersey"
39.7667,-84.2000,"Dayton, Ohio"
39.9528,-75.1636,Philadelphia
41.3458,-72.0297,"Groton, Connecticut"
42.2694,-71.6167,"Westborough, Massachusetts"
38.6447,-75.6161,"Seaford, Delaware"
41.8500,-87.6501,Chicago
43.2231,-88.1203,"Germantown, Wisconsin"
38.8633,-104.7919,"Colorado Springs, Colorado"
32.5410,-86.2077,"Wetumpka, Alabama"
30.3000,-97.7333,"Austin, Texas"
35.7800,-78.6400,"Raleigh, North Carolina"
28.5475,-81.7494,"Clermont, Florida"
37.5408,-77.4367,"Richmond, Virginia"
36.6094,-88.3156,"Murray, Kentucky"
39.8078,-84.0219,"Fairborn, Ohio"
41.8500,-87.6501,Chicago
42.2500,-71.0000,"Quincy, Massachusetts"
33.5647,-84.4106,"Riverdale, Georgia"
29.8256,-90.4692,"Des Allemands, Louisiana"
40.1533,-76.6006,"Elizabethtown, Pennsylvania"
41.7167,-71.4167,"Warwick, Rhode Island"
42.6181,-76.7242,"Interlaken, New York"
40.2217,-74.7561,"Trenton, New Jersey"
41.2722,-73.5528,"South Salem, New York"
39.2864,-76.6150,Baltimore
42.3317,-83.0475,Detroit
41.0964,-80.6492,"Youngstown, Ohio"
40.7000,-74.0000,New York City
41.9579,-70.958,Plymouth
39.3533,-78.0489,"Inwood, West Virginia"
38.2561,-85.7514,"Louisville, Kentucky"
41.5000,-94.6439,"Adair, Iowa"
43.6266,-89.7746,"Wisconsin Dells, Wisconsin"
37.7577,-87.1184,"Owensboro, Kentucky"
38.8048,-77.0468,"Alexandria, Virginia"
28.0879,-80.5689,"Indialantic, Florida"
40.9858,-75.1953,"Stroudsburg, Pennsylvania"
45.1200,-93.2875,"Coon Rapids, Minnesota"
40.5698,-74.6077,"Somerville, New Jersey"
30.1144,-83.5825,"Perry, Florida"
42.1486,-72.6083,"Chicopee, Massachusetts"
44.8103,-73.1522,"St. Albans (town), Vermont"
41.417,-81.606,"Garfield Heights, Ohio"
33.7569,-84.3903,Atlanta
40.1128,-88.2611,"Champaign, Illinois"
30.6303,-87.0464,"Milton, Florida"
40.6150,-80.2631,"Aliquippa, Pennsylvania"
40.7000,-74.0000,New York City
31.6728,-84.8903,"Coleman, Georgia"
28.6269,-81.3669,"Maitland, Florida"
41.7303,-71.2825,"Warren, Rhode Island"
42.9803,-82.4375,"Port Huron, Michigan"
41.7614,-72.6153,"East Hartford, Connecticut"
40.9972,-80.3444,"New Castle, Pennsylvania"
30.3000,-97.7333,"Austin, Texas"
35.5844,-80.8203,"Mooresville, North Carolina"
32.4464,-99.7456,"Abilene, Texas"
18.2641,-65.6485,"Ceiba, Puerto Rico"
42.7975,-76.1064,"Tully, New York"
35.7111,-81.2197,"Conover, North Carolina"
38.4785,-85.4754,WESTPORT
40.8425,-73.0436,"Farmingville, New York"
38.6269,-90.1994,St. Louis
32.8853,-80.0169,"North Charleston, South Carolina"
40.1775,-74.9189,"Langhorne, Pennsylvania"
36.7108,-107.9830,"Bloomfield, New Mexico"
35.4350,-83.3603,"Whittier, North Carolina"
28.5742,-81.5306,"Ocoee, Florida"
33.8936,-118.3078,"Gardena, California"
46.7797,-96.6531,"Sabin, Minnesota"
42.5381,-78.9308,"Lawtons, New York"
40.7000,-74.0000,New York City
36.8516,-75.9793,"Virginia Beach, Virginia"
37.3764,-77.5039,"Chesterfield Court House, Virginia"
35.3103,-78.6108,"Dunn, North Carolina"
39.2864,-76.6150,Baltimore
42.1022,-75.9117,"Binghamton, New York"
32.0508,-81.1039,"Savannah, Georgia"
42.1122,-71.6728,"Whitinsville, Massachusetts"
42.0772,-87.7236,"Wilmette, Illinois"
39.6879,-78.7819,Mount Savage Junction
28.3578,-80.6847,"Merritt Island, Florida"
36.3839,-90.1928,"Piggott, Arkansas"
41.1456,-73.9950,"New City, New York"
32.4922,-84.9403,"Columbus, Georgia"
34.0098,-86.0984,"Attalla, Alabama"
29.6653,-82.3361,"Gainesville, Florida"
38.6250,-90.1575,"East St. Louis, Illinois"
14.6500,120.9667,Caloocan
32.7920,-115.5631,"El Centro, California"
40.8639,-76.7892,"Sunbury, Pennsylvania"
39.9528,-75.1636,Philadelphia
40.7000,-74.0000,New York City
40.7000,-74.0000,New York City
25.7833,-80.2167,Miami
39.9528,-75.1636,Philadelphia
25.8606,-80.2939,"Hialeah, Florida"
32.9042,-80.6661,"Walterboro, South Carolina"
38.9150,-77.9203,"Delaplane, Virginia"
44.5000,-73.4833,"Keeseville, New York"
41.3083,-72.9250,"New Haven, Connecticut"
40.4650,-87.8964,"Rankin, Illinois"
42.2500,-73.7897,"Hudson, New York"
42.0083,-71.5161,"Woonsocket, Rhode Island"
32.8407,-83.6324,"Macon, Georgia"
41.5457,-71.2914,"Middletown, Rhode Island"
41.1853,-80.7572,"Niles, Ohio"
25.7833,-80.2167,Miami
41.5622,-72.6511,"Middletown, Connecticut"
38.9000,-77.2667,"Vienna, Virginia"
41.6333,-71.2167,"Tiverton, Rhode Island"
39.8017,-89.6437,"Springfield, Illinois"
41.0731,-81.5178,"Akron, Ohio"
40.0397,-76.3044,"Lancaster, Pennsylvania"
30.4122,-86.6592,"Mary Esther, Florida"
32.5977,-85.4808,"Auburn, Alabama"
38.8819,-76.9144,"Capitol Heights, Maryland"
43.1656,-77.6114,"Rochester, New York"
33.0906,-82.0153,"Waynesboro, Georgia"
40.5698,-74.6077,"Somerville, New Jersey"
41.8500,-87.6501,Chicago
41.0967,-73.5522,"Stamford, Connecticut"
34.6461,-120.4603,"Lompoc, California"
40.7000,-74.0000,New York City
41.6106,-87.0642,"Chesterton, Indiana"
41.9167,-72.4578,"Ellington, Connecticut"
44.9819,-93.2692,Minneapolis
30.2431,-92.0126,"Lafayette, Louisiana"
34.5794,-118.1165,"Palmdale, California"
41.8500,-87.6501,Chicago
38.8822,-77.171,"Falls Church, Virginia"
38.8048,-77.0468,"Alexandria, Virginia"
40.7000,-74.0000,New York City
36.2081,-86.3264,"Lebanon, Tennessee"
42.0547,-72.7708,"Southwick, Massachusetts"
39.9528,-75.1636,Philadelphia
38.8944,-84.2339,"Point Pleasant, Ohio"
27.9092,-82.7875,"Largo, Florida"
33.8867,-118.3536,"Lawndale, California"
40.5006,-75.0728,"Erwinna, Pennsylvania"
25.7833,-80.2167,Miami
36.0033,-77.6217,"Charleston, North Carolina"
35.7153,-79.8131,"Asheboro, North Carolina"
41.2444,-75.8781,"Wilkes-Barre, Pennsylvania"
30.4214,-87.2172,"Pensacola, Florida"
37.9947,-84.1842,"Winchester, Kentucky"
41.5883,-83.4894,"Walbridge, Ohio"
39.2864,-76.6150,Baltimore
41.1653,-73.8567,"Ossining (village), New York"
38.3539,-121.9728,"Vacaville, California"
39.9771,-74.9450,"Moorestown, New Jersey"
43.0631,-86.2283,"Grand Haven, Michigan"
